epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,11773.7,1.23409,1.33337,1.41803,0.42876,0.41327,0.38515,0.17176,2.1232,2.00384,2.49733,0.008416,0.008416,0.008416
162,11846.4,1.2173,1.31657,1.40674,0.45454,0.4399,0.37432,0.17058,2.17023,1.94563,2.55934,0.0084061,0.0084061,0.0084061
163,11901.1,1.22718,1.33217,1.40853,0.54407,0.40864,0.38614,0.16633,2.18007,1.97099,2.55999,0.0083962,0.0083962,0.0083962
164,11982.2,1.21139,1.29415,1.39799,0.59459,0.39512,0.38623,0.17325,2.13709,1.94944,2.53917,0.0083863,0.0083863,0.0083863
165,12048.7,1.21737,1.34051,1.41812,0.44134,0.40134,0.37296,0.1719,2.15951,1.94415,2.55111,0.0083764,0.0083764,0.0083764
166,12121.2,1.20556,1.30377,1.40038,0.4482,0.44494,0.39116,0.17275,2.15349,1.95719,2.58988,0.0083665,0.0083665,0.0083665
167,12179.2,1.21832,1.31199,1.3989,0.47364,0.35813,0.36781,0.16596,2.1737,1.99719,2.5904,0.0083566,0.0083566,0.0083566
168,12262.1,1.21249,1.30474,1.39843,0.4492,0.4051,0.37388,0.16423,2.20411,1.96644,2.63366,0.0083467,0.0083467,0.0083467
169,12332.1,1.18572,1.27613,1.38625,0.54202,0.39705,0.36286,0.16547,2.185,1.95764,2.62032,0.0083368,0.0083368,0.0083368
170,12404.6,1.22018,1.3024,1.40571,0.56719,0.3669,0.36385,0.16211,2.15366,2.01388,2.53506,0.0083269,0.0083269,0.0083269
171,12460.4,1.21543,1.30645,1.40423,0.39981,0.42197,0.36882,0.16975,2.12673,1.91763,2.55346,0.008317,0.008317,0.008317
172,12543.3,1.21344,1.29077,1.39604,0.53882,0.38011,0.37248,0.17095,2.15374,1.94136,2.57418,0.0083071,0.0083071,0.0083071
173,12611.3,1.19424,1.28651,1.38598,0.50872,0.38821,0.3733,0.17067,2.15945,1.90292,2.56891,0.0082972,0.0082972,0.0082972
174,12680.7,1.19382,1.22944,1.37676,0.53779,0.4204,0.39126,0.17099,2.18163,1.9112,2.58511,0.0082873,0.0082873,0.0082873
175,12735.2,1.18434,1.26005,1.37436,0.49516,0.37829,0.37351,0.17519,2.12159,1.92347,2.54999,0.0082774,0.0082774,0.0082774
176,12818.2,1.19946,1.27281,1.37423,0.49384,0.38983,0.37168,0.17386,2.13247,1.97498,2.54108,0.0082675,0.0082675,0.0082675
177,12886.2,1.1704,1.23358,1.36218,0.5794,0.38548,0.39469,0.17783,2.17357,1.9393,2.59041,0.0082576,0.0082576,0.0082576
178,12959.4,1.18448,1.26918,1.37881,0.49116,0.37676,0.37713,0.16955,2.16213,1.96903,2.59755,0.0082477,0.0082477,0.0082477
179,13016.2,1.16997,1.25203,1.37495,0.4539,0.42781,0.38196,0.17196,2.1678,2.05154,2.60369,0.0082378,0.0082378,0.0082378
180,13098.7,1.1718,1.23471,1.37132,0.53884,0.39398,0.39036,0.17909,2.17117,1.96121,2.60123,0.0082279,0.0082279,0.0082279
181,13162.7,1.19306,1.23981,1.37228,0.59616,0.35216,0.38619,0.17822,2.13271,1.96549,2.53447,0.008218,0.008218,0.008218
